<C> mm 	they are talking about fathers	Contradiction
<C> yeah 	they are not sure about dad	Neutral
<A> it's stupid though like I just 	they are not sure about time	Neutral
<C> I had that 	they are talking about stress	Entailment
<C> in the early eighties early to mid-eighties 	they are talking about eighties	Entailment
<A> I just 	Some people are moving to Cisco	Entailment
<C> oh 	It's easier to get a job in Cisco with a specialisation	Entailment
<C> yeah 	Speaker B can handle having 6 customers	Neutral
<C> didn't you have the use of a company car for that? 	Speaker B had the use of a company car	Neutral
<B> no 	Speaker B enjoys their job	Neutral
<B> anyhow er and her technical director who's a big guy 	Speaker B is wealthy	Neutral
<A> and then in the summer I wanted to be either by the sea a bit by the sea so either if there's a house in Cornwall or even like living at my mum and dad's because it's by the sea and hanging out 	speaker a has absolutely no plans	Contradiction
<A> I didn't really want volunteering to start already at the beginning of June but maybe that's too rigid because what I could do is no you see I just feel like it's too 	speaker a wants to go to the sea	Entailment
<A> I feel like May is too soon I don't wanna already be going to Denmark in May 	speaker a will never go to denmark	Contradiction
<A> do the Wales thing because I did wanna go to Wales and it's June so that and it's near the sea 	speaker a will have to leave in may	Entailment
<B> no go on 	speaker a wants to go learn Danish	Neutral
<A> yes but the thing is I'm attracted to her character 	Along Came Polly was originally a book.	Neutral
<B> mm 	Speaker A thinks that speaker B is incapable of teaching him/herself.	Contradiction
<A> against my natural 	Speaker A is good at cooking.	Neutral
<B> I do 	People can completely alter their birth personality.	Contradiction
<B> so erm 	The phrase "theory of everything" is used in the research field.	Contradiction
<B> but there's also the non-physical you right? now the non-physical you is always perfect and perfectly happy and ecstatic and everything's just ticking along nicely and what happens is 	According to religions, the human beings have body and soul.	Entailment
<A> yeah so it's still on just check I just suddenly thought what a good one this was and then I thought I bet it's not even on not not that you wouldn't be able to put it on but just one of those 	Speaker A doesn't embrace herself/himself.	Contradiction
<B> yeah 	Speaker A uses a rather expensive makeup.	Neutral
<A> was she? the Japanese girl? 	Joy was on the radio recently.	Contradiction
<A> the next day I did it and suddenly I had two bin liners full 	Speaking A was getting ready to live for Norway.	Contradiction
<A> and it was basically the upshot of having read the whole book was you pick up an item it doesn't have to be clothes 	The book has 145 pages.	Neutral
<A> if not chuck it not I when was the last time I wore it? 	The clothes speaker was picking were mostly T-shirts.	Neutral
<A> and it was like a sort of like epiphany moment 	The tidying book is 500 pages long.	Neutral
