<C> mm 	they are talking about fathers	Contradiction
<C> yeah 	they are not sure about dad	Neutral
<A> it's stupid though like i just 	they are not sure about time	Neutral
<C> i had that 	they are talking about stress	Entailment
<C> in the early eighties early to mid-eighties 	they are talking about eighties	Entailment
<A> i just 	some people are moving to cisco	Entailment
<C> oh 	it's easier to get a job in cisco with a specialisation	Entailment
<C> yeah 	speaker b can handle having 6 customers	Neutral
<C> didn't you have the use of a company car for that? 	speaker b had the use of a company car	Neutral
<B> no 	speaker b enjoys their job	Neutral
<B> anyhow er and her technical director who's a big guy 	speaker b is wealthy	Neutral
<A> and then in the summer i wanted to be either by the sea a bit by the sea so either if there's a house in cornwall or even like living at my mum and dad's because it's by the sea and hanging out 	speaker a has absolutely no plans	Contradiction
<A> i didn't really want volunteering to start already at the beginning of june but maybe that's too rigid because what i could do is no you see i just feel like it's too 	speaker a wants to go to the sea	Entailment
<A> i feel like may is too soon i don't wanna already be going to denmark in may 	speaker a will never go to denmark	Contradiction
<A> do the wales thing because i did wanna go to wales and it's june so that and it's near the sea 	speaker a will have to leave in may	Entailment
<B> no go on 	speaker a wants to go learn danish	Neutral
<A> yes but the thing is i'm attracted to her character 	along came polly was originally a book.	Neutral
<B> mm 	speaker a thinks that speaker b is incapable of teaching him/herself.	Contradiction
<A> against my natural 	speaker a is good at cooking.	Neutral
<B> i do 	people can completely alter their birth personality.	Contradiction
<B> so erm 	the phrase "theory of everything" is used in the research field.	Contradiction
<B> but there's also the non-physical you right? now the non-physical you is always perfect and perfectly happy and ecstatic and everything's just ticking along nicely and what happens is 	according to religions, the human beings have body and soul.	Entailment
<A> yeah so it's still on just check i just suddenly thought what a good one this was and then i thought i bet it's not even on not not that you wouldn't be able to put it on but just one of those 	speaker a doesn't embrace herself/himself.	Contradiction
<B> yeah 	speaker a uses a rather expensive makeup.	Neutral
<A> was she? the japanese girl? 	joy was on the radio recently.	Contradiction
<A> the next day i did it and suddenly i had two bin liners full 	speaking a was getting ready to live for norway.	Contradiction
<A> and it was basically the upshot of having read the whole book was you pick up an item it doesn't have to be clothes 	the book has 145 pages.	Neutral
<A> if not chuck it not i when was the last time i wore it? 	the clothes speaker was picking were mostly t-shirts.	Neutral
<A> and it was like a sort of like epiphany moment 	the tidying book is 500 pages long.	Neutral
