<B> yeah <C> oh the one who had cancer ? <B> well his his his brother had cancer his brother died <C> did he ? <A> and then his mum got ill <B> and then his mum got really ill he dropped he <C> mm 	they are talking about fathers	Contradiction
<B> i know erm it turns out that <B> turns out <B> he was ex- <C> yeah <B> so it seemed to be a bit of a stopgap bit like when dad <A> yeah <C> yeah 	they are not sure about dad	Neutral
<B> so it seemed to be a bit of a stopgap bit like when dad <A> yeah <C> yeah <B> he signed off <C> yeah <B> it 's like if you do n't if you do n't let me take this time i wo n't come back <A> it 's stupid though like i just 	they are not sure about time	Neutral
<C> yeah <A> normally the people that have that much stress in their role are like the sales people who have deadlines and stuff <C> yes <A> and they they <C> i had that <A> they reap the benefit of it <C> i had that 	they are talking about stress	Entailment
<A> yeah <C> i had that and er it got us our house in <A> yeah <B> mm yeah yeah <C> but i i was paid for it and i got bonuses and everything and it was good money <A> yeah <C> in the early eighties early to mid - eighties 	they are talking about eighties	Entailment
<C> you 're up for that though are n't you ? <B> yeah potentially erm i know some people are moving to <C> really ? <B> cisco is n't it ? <C> well that 's no different to what <B> mm <A> i just 	some people are moving to cisco	Entailment
<B> if i had a degree <A> because i think as soon as you start doing that kind of thing you make your role quite niche <B> yeah <A> so if you ever wanted to move on it would be like oh you 're a faults engineer like <B> yeah it 's cisco training so you have to stay technical <C> what <C> oh 	it 's easier to get a job in cisco with a specialisation	Entailment
<C> oh <B> yeah i 'm not <A> or <B> i 've got six customers should only should only have one if i was n't stretched <C> yeah <B> my my big one 's based in <C> yeah 	speaker b can handle having 6 customers	Neutral
<C> were you asked in to see them ? <B> i had to pick <C> oh did you ? <B> she got the train down <C> lovely <B> er and their technical <C> did n't you have the use of a company car for that ? 	speaker b had the use of a company car	Neutral
<B> she got the train down <C> lovely <B> er and their technical <C> did n't you have the use of a company car for that ? <B> no <C> have you claimed for mileage for using <B> no 	speaker b enjoys their job	Neutral
<B> no <C> your own car ? <B> er <A> yeah i <C> he 's mentioned this ? <A> yeah i did i did all of this as well why is n't she getting a taxi ? <B> anyhow er and her technical director who 's a big guy 	speaker b is wealthy	Neutral
